Timestamp,¿Está interesado en las noticias a los siguientes niveles geográficos? Seleccione todos los que se apliquen.,¿Cuáles de estos temas le interesan más? Seleccione hasta cinco.,¿Le interesa alguna de estas historias especiales? Seleccione todos los que se apliquen.,"¿Hay algunas historias específicas que le gustaría ver más frecuentemente en las noticias locales? Por ejemplo, artículos de investigación, perfil de negocios, columnas de opinión, caricaturas, etc.",¿En qué lenguaje prefiere recibir sus noticias? [TV/Video],¿En qué lenguaje prefiere recibir sus noticias? [Radio/Audio/Podcast],¿En qué lenguaje prefiere recibir sus noticias? [Impreso/Texto],¿Cómo recibe sus noticias **más frecuentemente**?,"¿Cuáles fuentes de información específicas usa usted más frecuentemente? Por favor anótelos aquí. Por ejemplo, Hartford Courant, Record Journal, noticiero FOX , CNN, NPR, Facebook, Patch, La Voz, Telemundo, etc.",¿Como **preferiría** recibir sus noticias?,"¿Cuánto confía en las noticias que vienen de… [Organizaciones de noticias nacionales (como CNN, Univisión)]","¿Cuánto confía en las noticias que vienen de… [Organizaciones de noticias locales (como el Record-Journal, Patch, el Hartford Courant, CT Mirror)]","¿Cuánto confía en las noticias que vienen de… [Medios sociales (como Facebook, Twitter, TikTok, YouTube, Instagram)]",¿Cuánto confía en las noticias que vienen de… [Familiares/amistades/verbalmente],¿Qué tanto está de acuerdo con estas declaraciones? [Confío en las fuentes de noticias que recibo acerca de mi comunidad.],¿Qué tanto está de acuerdo con estas declaraciones? [El noticiero local cubre temas que son importantes para mí.],"¿Qué tanto está de acuerdo con estas declaraciones? [Las noticias locales reflejan mis creencias, valores y costumbres.]",¿En qué pueblo vive?,¿Se identifica como hispano/latino/latinx?,¿En qué país nació?,¿Cuál es su rango de edad?,¿Cuál es su identidad de género?,¿Qué idioma habla en su hogar?,¿Alguno de los siguientes lo describen?,"¿Tiene acceso a una computadora portátil, computadora en su casa o dispositivo con conexión a internet, como un teléfono inteligente o iPad?",¿Tiene acceso a internet en su casa?,¿Está registrado/a para votar?,¿Hay algo más que le gustaría dejarnos saber?
8/7/2022 14:21:29,"Local, Estatal, Regional/Nueva Inglaterra/NYC Metro, Nacional, Internacional","Políticas, Música, arte y cultura, Educación, Salud, Eventos locales, Recursos comunitarios (por ejemplo: programas de asistencia, recursos de pequeñas empresas, agencias sin fines de lucro), Finanzas y educación financiera, Bienes raíces y propietario de vivienda, Oportunidades de participación comunitaria, Diversidad y justicia social, Asuntos ambientales y cambio de climático, Viajes y hospitalidad, Comida","Temas acerca de familias con niños, Temas sobre adolescentes, Temas acerca de las personas de la tercera edad, Temas acerca de propietarios de pequeñas empresas, Temas acerca de jóvenes, Temas acerca de participacion comunitaria",,Ambos: inglés y español,Ambos: inglés y español,Ambos: inglés y español,Aplicaciones de noticias,"Telemundo, Univisión, Facebook, Integram",Medios sociales,Mucho,Un poco,Mucho,Mucho,De acuerdo,De acuerdo,Neutral,Meriden,Sí,Puerto Rico,60-69,Mujer,Ambos: inglés y español,Ninguno de estos,Sí,Sí,Sí,Que allá más programas recreativos para nuestros niños de 4-18 años
8/7/2022 14:25:18,Internacional,"Música, arte y cultura",Temas acerca de jóvenes,Negocios,Español,Español,Español,TV,Fox,TV,Mucho,Mucho,Un poco,Mucho,Neutral,Neutral,Neutral,Waterbury,Sí,Puerto Rico,50-59,Hombre,Español,Soy propietario de una empresa pequeña,No,Sí,Sí,No
8/7/2022 14:49:05,Local,"Música, arte y cultura, Educación","Temas acerca de las personas de la tercera edad, Temas acerca de participacion comunitaria",Caricaturas ,Español,Español,Español,TV,Univision,TV,Un poco,Para nada,Mucho,Para nada,Neutral,De acuerdo,En desacuerdo,New Haven,Sí,Puerto Rico,,Mujer,Español,Ninguno de estos,No,Sí,Sí,No
8/7/2022 15:04:09,"Local, Nacional, Internacional","Deportes, Políticas, Música, arte y cultura, Educación, Salud","Temas acerca de familias con niños, Temas acerca de las personas de la tercera edad",Salud mental ,Español,Español,Español,TV,Telemundo ,TV,Mucho,Mucho,Un poco,Un poco,De acuerdo,De acuerdo,De acuerdo,Meriden,Sí,Puerto Rico ,50-59,Hombre,Español,Ninguno de estos,No,Sí,Sí,
8/7/2022 15:16:58,"Local, Regional/Nueva Inglaterra/NYC Metro, Nacional","Música, arte y cultura, Eventos locales, Finanzas y educación financiera, Tecnología, Viajes y hospitalidad","Temas sobre adolescentes, Temas acerca de jóvenes, Temas acerca de participacion comunitaria",Caricaturas,Ambos: inglés y español,Ambos: inglés y español,,Medios sociales,Record Journal,Medios sociales,Un poco,Mucho,Mucho,Un poco,Neutral,Neutral,Neutral,Meriden,Sí,PR,18-29,Mujer,Ambos: inglés y español,Ninguno de estos,Sí,Sí,Sí,
8/7/2022 15:17:59,,"Música, arte y cultura",Temas acerca de participacion comunitaria,Yea,,Inglés,,,Ok,TV,Un poco,Un poco,Un poco,Un poco,Neutral,Neutral,Neutral,Meriden,No,Nd,Menor de 18,Transgénero,,Soy un estudiante,No,No,Sí,
8/7/2022 15:18:50,"Regional/Nueva Inglaterra/NYC Metro, Nacional","Viajes y hospitalidad, Comida",Temas acerca de propietarios de pequeñas empresas,Cosas de negocios ,Ambos: inglés y español,Ambos: inglés y español,Ambos: inglés y español,Medios sociales,Telemundo ,Medios sociales,Un poco,Para nada,Mucho,Un poco,Neutral,Neutral,De acuerdo,New Haven,Sí,Puerto Rico,18-29,Mujer,Español,Ninguno de estos,Sí,Sí,No,No
8/7/2022 15:29:49,"Local, Internacional","Educación, Salud, Eventos locales, Bienes raíces y propietario de vivienda, Oportunidades de participación comunitaria","Temas sobre adolescentes, Temas acerca de las personas de la tercera edad", Cuidado de mayores de Edad y programas de ayuda,Español,Español,Español,Correo electrónico/boletines informativos,Cnn,TV,Mucho,,Mucho,Mucho,De acuerdo,De acuerdo,De acuerdo,,Sí,Puerto rico,60-69,Mujer,Español,,Sí,Sí,Sí,
8/7/2022 15:35:20,"Local, Estatal","Música, arte y cultura, Educación, Tecnología",Temas acerca de propietarios de pequeñas empresas,,Español,Español,Español,Aplicaciones de noticias,Facebook ,Correo electrónico/boletines informativos,Mucho,Mucho,Un poco,Un poco,Neutral,Neutral,Neutral,Waterbury,Sí,Puerto Rico ,40-49,Mujer,Español,Ninguno de estos,Sí,Sí,Sí,
8/7/2022 16:35:52,"Local, Regional/Nueva Inglaterra/NYC Metro, Nacional","Educación, Salud, Eventos locales, Recursos comunitarios (por ejemplo: programas de asistencia, recursos de pequeñas empresas, agencias sin fines de lucro), Finanzas y educación financiera, Diversidad y justicia social, Viajes y hospitalidad, Comida","Temas acerca de familias con niños, Temas sobre adolescentes, Temas acerca de propietarios de pequeñas empresas, Temas acerca de jóvenes, Temas acerca de participacion comunitaria",No,Español,Español,Español,Medios sociales,Facebook,Medios sociales,Mucho,Mucho,Mucho,Mucho,De acuerdo,De acuerdo,De acuerdo,Meriden,Sí,Republica Dominicana,40-49,Mujer,Español,Soy padre/madre de un niño menor de 18 años de edad,Sí,Sí,Sí,No
8/7/2022 16:41:32,"Local, Regional/Nueva Inglaterra/NYC Metro, Nacional, Internacional","Deportes, Música, arte y cultura, Educación, Salud, Eventos locales, Viajes y hospitalidad, Comida","Temas acerca de familias con niños, Temas sobre adolescentes, Temas acerca de las personas de la tercera edad, Temas acerca de propietarios de pequeñas empresas",Turismo,Ambos: inglés y español,Ambos: inglés y español,,Radio,Telemundo ,TV,,Un poco,Un poco,,De acuerdo,De acuerdo,De acuerdo,,Sí,Puerto Rico ,50-59,Mujer,Ambos: inglés y español,Soy padre/madre de un niño menor de 18 años de edad,Prefiero no decir,Sí,Sí,
8/7/2022 18:27:36,Nacional,"Eventos locales, Tecnología, Viajes y hospitalidad, Comida",Ninguno de estos,,Español,Español,Español,Radio,,Periódicos,Mucho,Un poco,Mucho,Un poco,Neutral,Neutral,Neutral,Cheshire,Sí,Puerto rico,30-39,Mujer,Ambos: inglés y español,Soy padre/madre de un niño menor de 18 años de edad,Sí,Sí,No,
8/7/2022 18:36:27,"Local, Regional/Nueva Inglaterra/NYC Metro, Nacional, Internacional","Deportes, Políticas, Música, arte y cultura, Negocios locales, Educación, Salud, Eventos locales, Recursos comunitarios (por ejemplo: programas de asistencia, recursos de pequeñas empresas, agencias sin fines de lucro), Finanzas y educación financiera, Bienes raíces y propietario de vivienda, Oportunidades de participación comunitaria, Diversidad y justicia social, Asuntos ambientales y cambio de climático, Tecnología, Viajes y hospitalidad, Comida","Temas acerca de familias con niños, Temas sobre adolescentes, Temas acerca de las personas de la tercera edad, Temas acerca de propietarios de pequeñas empresas, Temas acerca de jóvenes, Temas acerca de participacion comunitaria, Ninguno de estos",,Ambos: inglés y español,Español,Español,Medios sociales,Facebook ,Correo electrónico/boletines informativos,Mucho,Mucho,Mucho,Mucho,De acuerdo,De acuerdo,De acuerdo,Meriden,Sí,República Dominicana ,30-39,Mujer,Español,Soy padre/madre de un niño menor de 18 años de edad,Sí,Sí,No,
8/7/2022 18:40:06,Local,"Deportes, Educación, Salud, Eventos locales",Temas acerca de participacion comunitaria,,,,Inglés,Radio,,Periódicos,Un poco,Mucho,Mucho,Mucho,Neutral,Neutral,Neutral,Meriden,Sí,New York ,40-49,Mujer,Ambos: inglés y español,Ninguno de estos,Sí,Sí,No,
8/7/2022 19:39:20,"Local, Estatal, Regional/Nueva Inglaterra/NYC Metro, Nacional, Internacional","Deportes, Políticas, Música, arte y cultura, Negocios locales, Educación, Salud, Eventos locales, Recursos comunitarios (por ejemplo: programas de asistencia, recursos de pequeñas empresas, agencias sin fines de lucro), Finanzas y educación financiera, Bienes raíces y propietario de vivienda, Oportunidades de participación comunitaria, Diversidad y justicia social, Asuntos ambientales y cambio de climático, Tecnología, Viajes y hospitalidad, Comida","Temas acerca de familias con niños, Temas sobre adolescentes, Temas acerca de las personas de la tercera edad, Temas acerca de propietarios de pequeñas empresas, Temas acerca de jóvenes, Temas acerca de participacion comunitaria, Ninguno de estos",Vivienda ,Español,Español,Español,Medios sociales,Facebook ,Medios sociales,Un poco,Mucho,Mucho,Mucho,Neutral,Neutral,Neutral,Meriden,Sí,Puerto Rico,30-39,Mujer,Español,Soy padre/madre de un niño menor de 18 años de edad,Sí,Sí,No,L
8/7/2022 20:06:09,"Local, Regional/Nueva Inglaterra/NYC Metro, Nacional, Internacional","Música, arte y cultura, Salud, Finanzas y educación financiera, Diversidad y justicia social, Comida","Temas acerca de familias con niños, Temas acerca de jóvenes, Temas acerca de participacion comunitaria",,Ambos: inglés y español,Español,Español,TV,Telemundo,Correo electrónico/boletines informativos,Mucho,Mucho,Mucho,Mucho,De acuerdo,De acuerdo,De acuerdo,New britain,Sí,Republica dominicana,40-49,Mujer,Ambos: inglés y español,Soy padre/madre de un niño menor de 18 años de edad,Sí,Sí,Sí,
8/7/2022 21:22:39,"Local, Estatal, Nacional, Internacional","Música, arte y cultura, Educación, Salud, Eventos locales, Recursos comunitarios (por ejemplo: programas de asistencia, recursos de pequeñas empresas, agencias sin fines de lucro), Finanzas y educación financiera, Bienes raíces y propietario de vivienda, Tecnología, Comida","Temas acerca de las personas de la tercera edad, Temas acerca de propietarios de pequeñas empresas, Temas acerca de participacion comunitaria",ofertas laborales y emprendimientos ,Español,Español,Español,"Amistades, círculos sociales o verbalmente",facebook ,"Amistades, círculos sociales o verbalmente",Mucho,Mucho,Mucho,Mucho,De acuerdo,De acuerdo,Neutral,Meriden,Sí,colombia ,40-49,Mujer,Español,Ninguno de estos,Sí,Sí,No,no 
8/7/2022 21:25:46,"Local, Estatal, Regional/Nueva Inglaterra/NYC Metro","Música, arte y cultura, Negocios locales, Recursos comunitarios (por ejemplo: programas de asistencia, recursos de pequeñas empresas, agencias sin fines de lucro), Asuntos ambientales y cambio de climático, Viajes y hospitalidad","Temas acerca de propietarios de pequeñas empresas, Temas acerca de jóvenes, Temas acerca de participacion comunitaria","Live music, small businesses ",Inglés,Inglés,Inglés,Aplicaciones de noticias,Cnn,Aplicaciones de noticias,Mucho,Mucho,Un poco,Un poco,De acuerdo,De acuerdo,Neutral,Meriden,Sí,USA,50-59,Hombre,Ambos: inglés y español,Soy propietario de una empresa pequeña,Sí,Sí,Sí,
8/9/2022 8:23:58,"Local, Estatal, Regional/Nueva Inglaterra/NYC Metro, Internacional","Deportes, Políticas, Educación, Salud","Temas sobre adolescentes, Temas acerca de propietarios de pequeñas empresas, Temas acerca de participacion comunitaria",,Inglés,Inglés,Inglés,Aplicaciones de noticias,Fox,Medios sociales,Mucho,Mucho,Mucho,Un poco,De acuerdo,De acuerdo,Neutral,Meriden,Sí,Peru,40-49,Mujer,Español,Soy propietario de una empresa pequeña,Sí,Sí,Sí,
8/9/2022 13:34:43,"Local, Estatal, Regional/Nueva Inglaterra/NYC Metro, Nacional, Internacional","Música, arte y cultura, Negocios locales, Educación, Eventos locales, Oportunidades de participación comunitaria","Temas sobre adolescentes, Temas acerca de participacion comunitaria",Acerca de la Educación Social ,Ambos: inglés y español,,,TV,Telemundo,Periódicos,Mucho,Mucho,Un poco,Para nada,De acuerdo,Neutral,Neutral,Meriden,Sí,Colombia ,30-39,Mujer,Español,Soy padre/madre de un niño menor de 18 años de edad,Sí,Sí,No,Gracias por preocuparse por nuestra comunidad.
8/10/2022 10:43:52,"Local, Estatal, Regional/Nueva Inglaterra/NYC Metro, Nacional, Internacional","Salud, Finanzas y educación financiera","Temas acerca de familias con niños, Temas sobre adolescentes, Temas acerca de las personas de la tercera edad",Caricaturas ,Español,Español,Español,Aplicaciones de noticias,Record Journal,Aplicaciones de noticias,Un poco,Mucho,Un poco,Para nada,Neutral,Neutral,De acuerdo,Meriden,Sí,Puerto Rico,60-69,Mujer,Ambos: inglés y español,Ninguno de estos,Sí,Sí,Sí,No
8/10/2022 10:52:38,Internacional,"Políticas, Música, arte y cultura, Negocios locales, Educación, Salud",Temas acerca de propietarios de pequeñas empresas,Perfil de negocios,Ambos: inglés y español,Ambos: inglés y español,Ambos: inglés y español,Medios sociales,Telemundo ,Medios sociales,Un poco,Un poco,Para nada,Para nada,Neutral,Neutral,En desacuerdo,Meriden,Sí,Puerto Rico,30-39,Mujer,Español,Ninguno de estos,Sí,Sí,No estoy seguro/a,No
8/10/2022 11:02:07,Internacional,"Políticas, Educación, Salud, Bienes raíces y propietario de vivienda, Viajes y hospitalidad",Temas sobre adolescentes,Temas educativos,Español,Español,Español,TV,CNN y Telemundo ,TV,Mucho,Mucho,Un poco,Un poco,Neutral,De acuerdo,Neutral,Meriden,Sí,Republica Domenicana ,40-49,Mujer,Español,Soy padre/madre de un niño menor de 18 años de edad,Sí,Sí,No,No
8/10/2022 11:18:05,"Local, Estatal, Regional/Nueva Inglaterra/NYC Metro, Nacional, Internacional",Temas de otros paises y su cultura ,"Temas acerca de familias con niños, Temas acerca de las personas de la tercera edad, Ayuda a la gente y ninos ","None, temas de biblia ",Español,Español,Español,Medios sociales,None,Correo electrónico/boletines informativos,Un poco,Un poco,Para nada,Un poco,Neutral,Neutral,Neutral,Meriden,Sí,Puerto Rico,70 o mayor,Mujer,Ambos: inglés y español,Ninguno de estos,Sí,Sí,No,No
8/10/2022 11:43:20,Local,"Música, arte y cultura, Comida",Temas acerca de participacion comunitaria,Caricaturas ,Español,Español,Español,TV,Telemundo ,TV,Un poco,Mucho,Mucho,Para nada,De acuerdo,De acuerdo,De acuerdo,Meriden,Sí,Puerto Rico,50-59,Mujer,Ambos: inglés y español,Ninguno de estos,Sí,Sí,No,No
8/10/2022 11:50:52,Local,"Deportes, Políticas, Recursos comunitarios (por ejemplo: programas de asistencia, recursos de pequeñas empresas, agencias sin fines de lucro)",Temas sobre adolescentes,Articulos de investigative ,Español,Español,Español,TV,Univision y Telemundo ,TV,Un poco,Un poco,Un poco,Mucho,Neutral,De acuerdo,Neutral,Meriden,Sí,Puerto Rico,40-49,Hombre,Ambos: inglés y español,Soy padre/madre de un niño menor de 18 años de edad,Sí,Sí,No,No
8/10/2022 12:14:34,"Local, Estatal, Regional/Nueva Inglaterra/NYC Metro, Nacional, Internacional","Salud, Viajes y hospitalidad",Temas acerca de participacion comunitaria,Columnas de opinion,Ambos: inglés y español,Ambos: inglés y español,Ambos: inglés y español,Medios sociales,CNN,Correo electrónico/boletines informativos,Mucho,Mucho,Mucho,Un poco,Neutral,Neutral,De acuerdo,Meriden,Sí,Republica Domenicana ,40-49,Mujer,Ambos: inglés y español,Soy padre/madre de un niño menor de 18 años de edad,Sí,Sí,No,No
8/10/2022 19:42:13,"Local, Estatal, Regional/Nueva Inglaterra/NYC Metro, Nacional, Internacional","Políticas, Música, arte y cultura, Negocios locales, Salud, Eventos locales, Recursos comunitarios (por ejemplo: programas de asistencia, recursos de pequeñas empresas, agencias sin fines de lucro)","Temas acerca de familias con niños, Temas sobre adolescentes, Temas acerca de las personas de la tercera edad, Temas acerca de propietarios de pequeñas empresas, Temas acerca de jóvenes, Temas acerca de participacion comunitaria, Ninguno de estos",,,,Español,Periódicos,Facebook ,Medios sociales,Mucho,,,,De acuerdo,De acuerdo,De acuerdo,Meriden,Sí,Puerto Rico ,40-49,Mujer,Ambos: inglés y español,Soy padre/madre de un niño menor de 18 años de edad,Sí,Sí,Sí,
